species,family
Enterobacteria_phage_HK97,Byrnievirus
Haemophilus_paraphrohaemolyticus,Pasteurellaceae
Aggregatibacter_segnis,Pasteurellaceae
Lactobacillus_crispatus,Lactobacillaceae
Haemophilus_sputorum,Pasteurellaceae
Fusobacterium_nucleatum,Fusobacteriaceae
Aggregatibacter_aphrophilus,Pasteurellaceae
Neisseria_sicca,Neisseriaceae
Streptococcus_oligofermentans,Streptococcaceae
Neisseria_macacae,Neisseriaceae
Peptostreptococcus_stomatis,Peptostreptococcaceae
Lautropia_mirabilis,Burkholderiaceae
Cellulosilyticum_lentocellum,Cellulosilyticaceae
Streptococcus_pasteurianus,Streptococcaceae
Clostridium_butyricum,Clostridiaceae
Megasphaera_elsdenii,Veillonellaceae
Paraprevotella_clara,Prevotellaceae
Paraprevotella_xylaniphila,Prevotellaceae
Blautia_hydrogenotrophica,Lachnospiraceae
Butyricicoccus_pullicaecorum,Butyricicoccaceae
Phascolarctobacterium_succinatutens,Acidaminococcaceae
Succinatimonas_hippei,Succinivibrionaceae
Human_adenovirus_D,Adenoviridae
Bacteroides_barnesiae,Bacteroidaceae
Bacteroides_fluxus,Bacteroidaceae
Anaerofustis_stercorihominis,Eubacteriaceae
Anaerostipes_caccae,Lachnospiraceae
Ruminococcus_champanellensis,Oscillospiraceae
Methanosphaera_stadtmanae,Methanobacteriaceae
Finegoldia_magna,Peptoniphilaceae
Porphyromonas_uenonis,Porphyromonadaceae
Lactobacillus_ruminis,Lactobacillaceae
Shigella_sonnei,Enterobacteriaceae
Cronobacter_sakazakii,Enterobacteriaceae
Lachnospiraceae_bacterium_2_1_46FAA,Lachnospirales
Bifidobacterium_animalis,Bifidobacteriaceae
Enhydrobacter_aerosaccus,Hyphomicrobiales
Lactobacillus_salivarius,Lactobacillaceae
Lactobacillus_mucosae,Lactobacillaceae
Acinetobacter_junii,Moraxellaceae
Acinetobacter_parvus,Moraxellaceae
Streptococcus_pseudopneumoniae,Streptococcaceae
Bacteroidetes_oral_taxon_274,Pseudomonadati
Enterobacter_hormaechei,Enterobacter
Streptococcus_mutans,Streptococcaceae
Mycoplasma_bovis,Metamycoplasmataceae
Chicken_anemia_virus,Gyrovirus
Enterococcus_asini,Enterococcaceae
Prevotella_melaninogenica,Prevotellaceae
Prevotella_histicola,Prevotellaceae
Butyrivibrio_crossotus,Lachnospiraceae
Prevotella_disiens,Prevotellaceae
Leuconostoc_citreum,Lactobacillaceae
Shigella_phage_Sf6,Lederbergvirus
Enterococcus_avium,Enterococcaceae
Citrobacter_koseri,Enterobacteriaceae
Cetobacterium_somerae,Fusobacteriaceae
Proteus_penneri,Morganellaceae
Proteus_mirabilis,Morganellaceae
Neisseria_elongata,Neisseriaceae
Lactobacillus_delbrueckii,Lactobacillaceae
Corynebacterium_durum,Corynebacteriaceae
Lactobacillus_farciminis,Lactobacillaceae
Prevotella_buccae,Prevotellaceae
Enterococcus_raffinosus,Enterococcaceae
